,author
437,William F. Nolan and George Clayton Johnson 
438,Diana Mohamadi 
439,Eça de Queirós
440,William Shakespeare 
441,Isabel Maria Fidalgo Mateus
442,Augusto Carlos
443,Bram Stoker e Ian Holt 
444,Dave Eggers 
445,Bernard Cornwell
446,Agustín Fernández Paz 
447,texto de Cidália Fernandes 
448,Ana Teresa Pereira
449,Rider Haggard
450,adapt. de Lara Bergen 
451,adapt. Aquilino Ribeiro
452,Charles Dickens
453,Ana Paula Tavares ... [et al.] 
454,Jean-Christophe Bailly
455,Júlio Verne
456,contada às crianças e ao povo por João de Barros 
457,Brian Jacques 
458,adapt. Marques Braga 
459,Thomas Bailey Aldrich 
460,Manuel Alegre 
461,A. J. Lake 
462,António Mota 
463,Lídia Jorge
464,Aquilino Ribeiro
465,Shannon Hale 
466,François Bégaudeau 
467,Wedekind
468,Thomas Berger 
469,Kenneth Grahame 
470,texto e il. Helga Gebert 
471,C. S. Lewis 
472,Iain Lawrence 
473,Terry Deary 
474,Marion Zimmer Bradley
475,Kirsten Miller 
476,Katherine Paterson 
477,Paul Stewart e Chris Riddell 
478,João Aguiar 
479,Truman Capote 
480,Emma Maree Urquhart 
481,Anónimo 
482,Victor Hugo
483,Irene Lisboa 
484,Tim Bowler
485,David Howarth 
486,Capitão Charles Johnson 
487,adapt. dos textos Xavier Valls 
488,Alberto Braga... [et al] 
489,texto e fotografias Miguel Sousa Tavares
490,Henrique O'Neill 
491,Vergílio Ferreira 
492,J. R. R. Tolkien
493,texto de Jorge Araújo 
494,Meg Cabot 
495,J. R. R. Tolkien 
496,Louise Cooper
497,"Terry Deary, Peter Hepplwhite "
498,Martin Oliver 
499,selec. e org. Valter Hugo Mãe
500,H. Rider Haggard 
501,Bernardo Atxaga
502,Cyrano de Bergerac
503,R. L. Stevenson
504,Trindade Coelho
505,Richard Bach
506,texto Richard Platt 
507,Jack London
508,Nadine Gordimer 
509,Almada Negreiros
510,José Rodrigues Miguéis
511,[transcrição] Pedro Eiras
512,José de Almada Negreiros 
513,Júlio Dinis 
514,Mário de Sá Carneiro
515,Jean Rhys 
516,Amin Maalouf 
517,Nelson Rodrigues
518,Jorge Luis Borges 
519,Nuno Costa Santos
520,Ricardo Arújo Pereira
521,Maria Velho da Costa 
522,Manuel Jorge Marmelo
523,"Filipe Melo, Juan Cavia"
524,Fiódor Dostoievski 
525,Lucia Berlin 
526,Julián Fuks
527,Raduan Nassar
528,Graham Greene 
529,Julian Barnes 
530,V. S. Naipaul 
531,Gustave Flaubert 
532,Charles Bukowski 
533,Fernando Namora 
534,André Alexis 
535,Antoigne Compagnon 
536,Ana Margarida de Carvalho
537,org. Luís Naves
538,Mário Cláudio
539,Linda Sue Park 
540,Rebecca Solnit 
541,Marcelo Quintanilha
542,"de Angélica Freitas, Odyr"
543,João Ricardo Pedro
544,Ruy Castro
545,James Salter 
546,Dylan Thomas 
547,James Riordan 
548,Erskine Caldwell 
549,Anónimo do século XVI e H. de Luna 
550,Henry James 
551,Orhan Pamuk
552,Pedro Mexia
553,Jorge de Sena
554,Franz Kafka 
555,[adapt.] Pierre-Henry Gomont 
556,Stendhal 
557,Juan José Millás 
558,Pam Jenoff 
559,Rachel Cusk 
560,Daphne du Maurier 
561,Joseph Conrad 
562,Cristina Carvalho
563,Jorge Carrión 
564,Madame de Lafayette 
565,trad. de Margarida Amado Acosta
566,Patrícia Portela
567,Jostein Gaarder 
568,versão de Marcello Quintanilha
569,texto Sébastien Perez 
570,Manuel António Pina 
571,Júlio Dinis
572,Bram Stoker 
573,Bruno Vieira Amaral
574,Nicola Yoon 
575,João Pinto Coelho
576,Melissa Fleming 
577,John Green 
578,Miguel Gizzas
579,Tiago Rodrigues
580,Eça de Queiroz
581,João Tordo
582,trad. Hugo Maia
583,Yasmina Reza 
584,Bruno Vieira do Amaral
585,Maria José da Silveira Núncio
586,Lídia Jorge 
587,Frederico Lourenço 
588,Kensaburo Oe 
589,Ana Pessoa... [et al.]
590,Primo Levi 
591,Claudio Magris 
592,David Sala 
